Player,Position,Team,Pts.,Sel.,Cost
Van de Ven,DEF,TOT,81,4.10%,4.5
Smith,DEF,BOU,80,0.50%,4.5
Welbeck,FWD,BHA,79,0.10%,5.5
Edouard,FWD,CRY,79,0.40%,5.5
Udogie,DEF,TOT,79,5.30%,5
Antonio,FWD,WHU,78,0.40%,5.5
Tielemans,MID,AVL,77,0.60%,5.5
Cook,MID,BOU,77,0.10%,5
Pinnock,DEF,BRE,77,0.70%,4.5
Enzo,MID,CHE,77,0.60%,5
McAtee,MID,MCI,77,0.10%,5
Mainoo,MID,MUN,77,3.10%,5.5
Almirón,MID,NEW,77,1.00%,6
Aït-Nouri,DEF,WOL,77,5.40%,4.5
Madueke,MID,CHE,76,0.90%,6.5
Young,DEF,EVE,76,0.50%,4.5
Maupay,FWD,EVE,76,0.90%,5
Gomez,DEF,LIV,76,0.70%,5
Robertson,DEF,LIV,76,19.90%,6
Zouma,DEF,WHU,76,0.70%,4.5
Roerslev,DEF,BRE,75,0.50%,4.5
Dúbravka,GKP,NEW,75,1.60%,4.5
J.Gomes,MID,WOL,75,0.20%,5
Nørgaard,MID,BRE,74,0.20%,5
Mitoma,MID,BHA,74,2.00%,6.5
Gusto,DEF,CHE,74,3.20%,5
Reguilón,DEF,TOT,74,0.60%,4.5
Lewis-Potter,MID,BRE,73,0.10%,5
Gana,MID,EVE,73,0.10%,5
Maguire,DEF,MUN,73,0.80%,5
Raúl,FWD,FUL,72,0.20%,5.5
Nketiah,FWD,ARS,71,0.60%,6
Petrović,GKP,CHE,71,3.60%,4.5
Disasi,DEF,CHE,71,0.90%,4.5
Tomiyasu,DEF,ARS,70,0.60%,5
Cairney,MID,FUL,70,0.10%,5
Foderingham,GKP,WHU,70,0.70%,4.5
Ferguson,FWD,BHA,69,0.10%,5.5
Wilson,FWD,NEW,69,0.70%,7
Dawson,DEF,WOL,69,0.50%,4.5
Ajer,DEF,BRE,68,0.70%,4.5
Verbruggen,GKP,BHA,68,4.30%,4.5
Johnstone,GKP,CRY,68,1.50%,4.5
Kiwior,DEF,ARS,67,0.60%,5
Dominguez,MID,NFO,67,0.10%,5
Awoniyi,FWD,NFO,67,1.60%,6
Tosin,DEF,CHE,66,0.60%,4.5
Guéhi,DEF,CRY,66,7.10%,4.5
Schlupp,MID,CRY,66,0.10%,5
Onana,MID,EVE,66,0.40%,5
Bassey,DEF,FUL,66,0.60%,4.5
Colwill,DEF,CHE,65,1.50%,4.5
Danilo,MID,NFO,65,0.10%,5
Cash,DEF,AVL,64,2.20%,4.5
Lerma,MID,CRY,64,0.10%,5
Barnes,MID,NEW,64,1.20%,6.5
