,player_id,element_id,gameweek,gp,listing_price,listing_ptv,gwk_price,gwk_ptv,total_points,gp_multi,point_value,wac_wk0,wac_wk1,wac_wk2,dev_wk0,dev_wk1,dev_wk2
0,FSM15,13,1,3,49000,1289.4736842105262,36500,960.5263157894736,3,30,0.0008219178082191781,0.0,0.5013698630136987,0.7068493150684932,0.0,-0.255506737439931,-0.36022261343990236
1,FSM10,16,1,3,49000,1289.4736842105262,36500,960.5263157894736,3,30,0.0008219178082191781,0.0,0.5013698630136987,0.7068493150684932,0.0,-0.255506737439931,-0.36022261343990236
2,FSM11,17,1,12,49000,1289.4736842105262,49000,1289.4736842105262,12,120,0.0024489795918367346,0.0,1.493877551020408,2.1061224489795918,0.0,0.7370009505667784,1.0390505204711962
3,FSM06,18,1,6,41500,1092.1052631578948,41500,1092.1052631578948,6,60,0.0014457831325301205,0.0,0.8819277108433735,1.2433734939759036,0.0,0.1250511103897438,0.17630156546750797
4,FSM14,182,1,2,49000,1289.4736842105262,46000,1210.5263157894738,2,20,0.0004347826086956522,0.0,0.26521739130434785,0.3739130434782609,0.0,-0.49165920914928185,-0.6931588850301347
5,FSM02,224,1,2,38500,1013.1578947368421,19000,500.0,2,20,0.0010526315789473684,0.0,0.6421052631578947,0.9052631578947368,0.0,-0.11477133729573497,-0.16180877061365884
6,FSM04,235,1,1,40000,1052.6315789473683,20500,539.4736842105264,1,10,0.0004878048780487805,0.0,0.2975609756097561,0.4195121951219512,0.0,-0.4593156248438736,-0.6475597333864445
7,FSM01,247,1,2,38500,1013.1578947368421,35500,934.2105263157895,2,20,0.0005633802816901409,0.0,0.34366197183098596,0.48450704225352115,0.0,-0.41321462862264374,-0.5825648862548745
8,FSM13,328,1,14,47500,1250.0,47500,1250.0,14,140,0.0029473684210526317,0.0,1.7978947368421054,2.5347368421052634,0.0,1.0410181363884758,1.4676649135968678
9,FSM05,342,1,6,40000,1052.6315789473683,27500,723.6842105263158,6,60,0.002181818181818182,0.0,1.330909090909091,1.8763636363636365,0.0,0.5740324904554613,0.8092917078552408
10,FSM12,398,1,3,49000,1289.4736842105262,49000,1289.4736842105262,3,30,0.0006122448979591836,0.0,0.373469387755102,0.5265306122448979,0.0,-0.3834072126985277,-0.5405413162634977
11,FSM07,433,1,2,41500,1092.1052631578948,41500,1092.1052631578948,2,20,0.00048192771084337347,0.0,0.2939759036144578,0.4144578313253012,0.0,-0.4629006968391719,-0.6526140971830945
12,FSM09,497,1,1,41500,1092.1052631578948,29000,763.1578947368421,1,10,0.0003448275862068965,0.0,0.21034482758620687,0.296551724137931,0.0,-0.5465317728674228,-0.7705202043704646
13,FSM03,506,1,2,38500,1013.1578947368421,38500,1013.1578947368421,2,20,0.0005194805194805195,0.0,0.3168831168831169,0.44675324675324674,0.0,-0.4399934835705128,-0.6203186817551489
14,FSM08,550,1,2,41500,1092.1052631578948,22000,578.9473684210526,2,20,0.0009090909090909091,0.0,0.5545454545454546,0.7818181818181819,0.0,-0.20233114590817514,-0.28525374669021375
15,FSM15,13,2,2,49000,1289.4736842105262,36500,960.5263157894736,2,20,0.000547945205479452,0.0,0.3342465753424657,0.4712328767123287,0.0,-0.422630025111164,-0.5958390517960669
16,FSM10,16,2,2,49000,1289.4736842105262,36500,960.5263157894736,2,20,0.000547945205479452,0.0,0.3342465753424657,0.4712328767123287,0.0,-0.422630025111164,-0.5958390517960669
17,FSM11,17,2,6,49000,1289.4736842105262,49000,1289.4736842105262,6,60,0.0012244897959183673,0.0,0.746938775510204,1.0530612244897959,0.0,-0.009937824943425655,-0.014010704018599718
18,FSM06,18,2,6,41500,1092.1052631578948,41500,1092.1052631578948,6,60,0.0014457831325301205,0.0,0.8819277108433735,1.2433734939759036,0.0,0.1250511103897438,0.17630156546750797
19,FSM14,182,2,17,49000,1289.4736842105262,46000,1210.5263157894738,17,170,0.0036956521739130435,0.0,2.2543478260869567,3.1782608695652175,0.0,1.4974712256333271,2.111188941056822
20,FSM02,224,2,1,38500,1013.1578947368421,19000,500.0,1,10,0.0005263157894736842,0.0,0.32105263157894737,0.4526315789473684,0.0,-0.43582396887468233,-0.6144403495610272
21,FSM04,235,2,1,40000,1052.6315789473683,20500,539.4736842105264,1,10,0.0004878048780487805,0.0,0.2975609756097561,0.4195121951219512,0.0,-0.4593156248438736,-0.6475597333864445
22,FSM01,247,2,8,38500,1013.1578947368421,35500,934.2105263157895,8,80,0.0022535211267605635,0.0,1.3746478873239438,1.9380281690140846,0.0,0.6177712868703141,0.870956240505689
23,FSM13,328,2,10,47500,1250.0,47500,1250.0,10,100,0.002105263157894737,0.0,1.2842105263157895,1.8105263157894735,0.0,0.5273339258621598,0.7434543872810779
24,FSM05,342,2,2,40000,1052.6315789473683,27500,723.6842105263158,2,20,0.0007272727272727272,0.0,0.4436363636363636,0.6254545454545454,0.0,-0.3132402368172661,-0.44161738305385023
25,FSM12,398,2,10,49000,1289.4736842105262,49000,1289.4736842105262,10,100,0.0020408163265306124,0.0,1.2448979591836735,1.7551020408163267,0.0,0.4880213587300438,0.6880301123079311
26,FSM07,433,2,10,41500,1092.1052631578948,41500,1092.1052631578948,10,100,0.0024096385542168677,0.0,1.4698795180722892,2.072289156626506,0.0,0.7130029176186595,1.0052172281181104
27,FSM09,497,2,1,41500,1092.1052631578948,29000,763.1578947368421,1,10,0.0003448275862068965,0.0,0.21034482758620687,0.296551724137931,0.0,-0.5465317728674228,-0.7705202043704646
